program,code,description,agency
AIR QUALITY CONTROL,AQ01,Plan Approval Limited,MassDEP
AIR QUALITY CONTROL,AQ02,Plan Approval Non-Major Comprehensive,MassDEP
AIR QUALITY CONTROL,AQ03,Plan Approval Major Comprehensive,MassDEP
AIR QUALITY CONTROL,AQ08A,Emission Control Plan NOx/VOC State Only Review,MassDEP
AIR QUALITY CONTROL,AQ08B,Emission Control Plan NOx/VOC State & EPA Review,MassDEP
AIR QUALITY CONTROL,AQ09,Restricted Emissions Status Plan,MassDEP
AIR QUALITY CONTROL,AQ10,Operating Permit Minor Modification,MassDEP
AIR QUALITY CONTROL,AQ11,Operating Permit Administrative Amendment,MassDEP
AIR QUALITY CONTROL,AQ11A,OPERATING PERMIT ENROLLMENT,MassDEP
AIR QUALITY CONTROL,AQ12,Operating Permit Renewal,MassDEP
AIR QUALITY CONTROL,AQ13,Operating Permit Significant Modification,MassDEP
AIR QUALITY CONTROL,AQ14,Operating Permit Initial,MassDEP
AIR QUALITY CONTROL,AQ15,Group A Operating Permit,MassDEP
AIR QUALITY CONTROL,AQ16,Group B Operating Permit,MassDEP
AIR QUALITY CONTROL,AQ17,Group C Operating Permit,MassDEP
AIR QUALITY CONTROL,AQ18,Emission Reduction Banking & Trading Credit Certification,MassDEP
AIR QUALITY CONTROL,AQ19,CERTIFY ECP / NOX CAP W/O PUBLIC COMMENT,MassDEP
AIR QUALITY CONTROL,AQ20,CERTIFY ECP / NOX CAP WITH PUBLIC COMMENT,MassDEP
AIR QUALITY CONTROL,AQ21,CERTIFY ECP / NOX CAP WITH SIGNIFICANT PHYSICAL CHANGES,MassDEP
AIR QUALITY CONTROL,AQ22,Emission Control Plan - Municipal Waste Combustor,MassDEP
AIR QUALITY CONTROL,AQ23,PERSCRIBED OR ALTERNATIVE NOX EMISSION CNTRL PLAN,MassDEP
AIR QUALITY CONTROL,AQ25,Emission Control Plan - Power Plant,MassDEP
AIR QUALITY CONTROL,AQ27,CERTIFICATION OF GREENHOUSE GAS CREDITS,MassDEP
AIR QUALITY CONTROL,AQ29,Emission Control Plan - Clean Air Interstate Rule (CAIR),MassDEP
AIR QUALITY CONTROL,AQ30,Emission Control Plan - Carbon Dioxide Budget,MassDEP
AIR QUALITY CONTROL,AQ33,Plan Approval Limited/Comprehensive Consolidation,MassDEP
AIR QUALITY CONTROL,AQ34,Plan Approval Limited/Comprehensive Admin Amendment,MassDEP
ASBESTOS,AQ04/ANF001,Removal Notification,MassDEP
ASBESTOS,AQ06,Construction/Demolition Notification,MassDEP
HAZARDOUS WASTE,HW01,Level I Recycling,MassDEP
HAZARDOUS WASTE,HW03,Level III Recycling,MassDEP
HAZARDOUS WASTE,HW04,Level I Recycling Modification,MassDEP
HAZARDOUS WASTE,HW05,Transporter License HW including Mixed Wastes,MassDEP
HAZARDOUS WASTE,HW06,Transporter License Class B(4),MassDEP
HAZARDOUS WASTE,HW07,APPROVAL OF HW TREATABILITY STUDIES,MassDEP
HAZARDOUS WASTE,HW08,TSD Operation License Or Closure Plan (IRP),MassDEP
HAZARDOUS WASTE,HW09,TSD Class I Modification,MassDEP
HAZARDOUS WASTE,HW09A,TSD Class I Mod Notification - No Prior Written Approval,MassDEP
HAZARDOUS WASTE,HW10,TSD Class II Modification,MassDEP
HAZARDOUS WASTE,HW11,TSD Class III Modification (IRP),MassDEP
HAZARDOUS WASTE,HW12,Level III Recycling Class B(4) Materials (Precious Metals),MassDEP
HAZARDOUS WASTE,HW14,Transporter License HW Renewal,MassDEP
HAZARDOUS WASTE,HW15,Transporter License Class B(4) Renewal,MassDEP
HAZARDOUS WASTE,HW16B,WASTE DECLASSIFICATION W/ PUBLIC COMMENT (IRP),MassDEP
HAZARDOUS WASTE,HW17,Transporter License Class B(4) Minor Modification,MassDEP
HAZARDOUS WASTE,HW18,Transporter License HW Major Modification or Renewal,MassDEP
HAZARDOUS WASTE,HW19,Transporter License HW Minor Modification,MassDEP
HAZARDOUS WASTE,HW21,Level I Recycling/Renewal Class A Materials,MassDEP
HAZARDOUS WASTE,HW22,Level I Recycling/Renewal,MassDEP
HAZARDOUS WASTE,HW23,Level II Recycling,MassDEP
HAZARDOUS WASTE,HW24,Level II Recycling Renewal/Modification,MassDEP
HAZARDOUS WASTE,HW25,Level III Recycling,MassDEP
HAZARDOUS WASTE,HW26,Level III Recycling Renewal/Modification,MassDEP
HAZARDOUS WASTE,HW27,Transporter License HW or Class B(4) Modification,MassDEP
INDUSTRIAL WASTEWATER,DEP01B,Holding Tank Certification - IWW,MassDEP
INDUSTRIAL WASTEWATER,IW03,TYPE II WASTEWATER FACILITY PERMIT AND PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW05,TYPE I WASTEWATER FACILITY PERMIT AND PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW10,SEWER CONNECTION TYPE II PERMIT AND PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW12,SEWER CONNECTION TYPE I PERMIT AND PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW14,SEWER CONNECTION PERMIT WITHOUT PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW16,Type II Wastewater Treatment Facility Permit & Plan Approval,MassDEP
INDUSTRIAL WASTEWATER,IW18,Type I Wastewater Treatment Facility Permit & Plan Approval,MassDEP
INDUSTRIAL WASTEWATER,IW21,PERMIT RENEWAL AND/OR PLAN MODIFICATION,MassDEP
INDUSTRIAL WASTEWATER,IW23,SEWER CONNECTION: PLAN APPROVAL FOR TYPE II FACILITY,MassDEP
INDUSTRIAL WASTEWATER,IW24,SEWER CONNECTION: PLAN APPROVAL FOR TYPE I FACILITY,MassDEP
INDUSTRIAL WASTEWATER,IW25,Sewer Connect Experimental/Alternative Treatment (IRP),MassDEP
INDUSTRIAL WASTEWATER,IW27,Other Industrial Wastewater Projects (IRP),MassDEP
INDUSTRIAL WASTEWATER,IW29,Install or Convert to Holding Tank,MassDEP
INDUSTRIAL WASTEWATER,IW30,RENEWAL OR MODIFICATION WITH PLAN MODIFICATION,MassDEP
INDUSTRIAL WASTEWATER,IW31,RENEWAL OR MODIFICATION WITHOUT PLAN MODIFICATION,MassDEP
INDUSTRIAL WASTEWATER,IW32,PLAN APPROVAL MODIFICATION,MassDEP
INDUSTRIAL WASTEWATER,IW33,PERMIT WITHOUT PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW34,RENEWAL OR MODIFCATION WITHOUT PLAN APPROVAL,MassDEP
INDUSTRIAL WASTEWATER,IW35,Renewal/Modification of Permit with Plan Modification,MassDEP
INDUSTRIAL WASTEWATER,IW36,Renewal/Modification of Permit without Plan Modification,MassDEP
INDUSTRIAL WASTEWATER,IW37,Modification of Plan Approval,MassDEP
INDUSTRIAL WASTEWATER,IW38,SEWER CONNECT-EXTEND >50K GPD TO IPP POTW,MassDEP
INDUSTRIAL WASTEWATER,IW38A,SEWER CONNECT-EXTEND >50K GPD TO IPP POTW RCRA FACILITY,MassDEP
INDUSTRIAL WASTEWATER,IW39,SEWER CONNECT-EXTEND >25K GPD TO NON-IPP POTW,MassDEP
INDUSTRIAL WASTEWATER,IW40,Sewer Connection,MassDEP
PESTICIDES,AL,Application License,MDAR
PESTICIDES,CB,Catch Basin Permit,MDAR
PESTICIDES,CC,Commercial Certification,MDAR
PESTICIDES,DL,Dealer License,MDAR
PESTICIDES,PC,Private Certification,MDAR
SOLID WASTE MGMT,SW26,Auth to Construct Large New/Major Expansion Landfill (IRP),MassDEP
SOLID WASTE MGMT,SW27,Auth to Construct Med New/Med Expansion Landfill,MassDEP
SOLID WASTE MGMT,SW27,Auth to Construct Med New/Med Expansion Landfill w/ Var,MassDEP
SOLID WASTE MGMT,SW28,Auth to Construct Small New/Small Expansion Landfill w/ Var,MassDEP
SOLID WASTE MGMT,SW30,Minor Beneficial Use Determination,MassDEP
SOLID WASTE MGMT,SW31,Minor Special Waste Determination,MassDEP
SOLID WASTE MGMT,SW32,New Solid Waste Technology Demonstration Project,MassDEP
SOLID WASTE MGMT,SW32,Major Demonstration Project,MassDEP
SOLID WASTE MGMT,SW32A,Major Demonstration Project w/o Public Comment,MassDEP
SOLID WASTE MGMT,SW33,Major Demonstration Project Report,MassDEP
SOLID WASTE MGMT,SW34,Existing Transfer Station/Handling Facility Permit By Rule,MassDEP
SOLID WASTE MGMT,SW35,Minor Demonstration Project,MassDEP
SOLID WASTE MGMT,SW35,New Recycle Compost Convert Technology Demonstration Project,MassDEP
SOLID WASTE MGMT,SW35A,Minor Demonstration Project w/o Public Comment,MassDEP
SOLID WASTE MGMT,SW36,Major Post-Closure Use,MassDEP
SOLID WASTE MGMT,SW37,Minor Post-Closure Use,MassDEP
SOLID WASTE MGMT,SW38,Major Mod of Site Assignment Existing Site Suitability Rpt,MassDEP
SOLID WASTE MGMT,SW39,BUD Secondary Material in Commercial Products,MassDEP
SOLID WASTE MGMT,SW40,BUD Secondary Material in Regulated Systems,MassDEP
SOLID WASTE MGMT,SW41,BUD Secondary Material in Restricted Applications,MassDEP
SOLID WASTE MGMT,SW42,BUD Secondary Material in Unrestricted Application (IRP),MassDEP
SOLID WASTE MGMT,SW43A,Landfill Closure Completion,MassDEP
SOLID WASTE MGMT,SW43B,Landfill Closure Completion with Variance,MassDEP
SOLID WASTE MGMT,SW44,Modification of Beneficial Use Determination,MassDEP
SOLID WASTE MGMT,SW45,Alternative Modification to any SW Management Facility,MassDEP
SOLID WASTE MGMT,SW46,Recycle Compost Convert Recyclable/Organic Material,MassDEP
SOLID WASTE MGMT,SW46B,Recycle Compost Convert Recyclable/Organic Material,MassDEP
SOLID WASTE MGMT,SW47,Renew/Mod Recyc Compost Convert Recyclable/Organic Material,MassDEP
SOLID WASTE MGMT,SW47B,Renew/Mod Recyc Compost Convert Recyclable/Organic Material,MassDEP
TOXIC USE REDUCTION,TU01,GENERAL PRACTICE TUR PLANNER,MassDEP
TOXIC USE REDUCTION,TU02,LIMITED PRACTICE TUR PLANNER,MassDEP
TOXIC USE REDUCTION,TU03,RECERTIFICATION GENERAL PRACTICE TUR PLANNER,MassDEP
TOXIC USE REDUCTION,TU04,RECERTIFICATION LIMITED PRACTICE TUR PLANNER,MassDEP
WASTE SITE CLEANUP,BWS01,Tier IA Response Action Permit,MassDEP
WASTE SITE CLEANUP,BWS01A,Tier IA Response Action Permit - Homeowner Applicant,MassDEP
WASTE SITE CLEANUP,BWS02,Tier IB Response Action Permit,MassDEP
WASTE SITE CLEANUP,BWS02A,Tier IB Response Action Permit - Homeowner Applicant,MassDEP
WASTE SITE CLEANUP,BWS03,Tier IC Response Action Permit,MassDEP
WASTE SITE CLEANUP,BWS03A,Tier IC Response Action Permit - Homeowner Applicant,MassDEP
WASTE SITE CLEANUP,BWS10,Tier I Major Permit Modification,MassDEP
WASTE SITE CLEANUP,BWS10A,Tier I Major Permit Modification - Homeowner Applicant,MassDEP
WASTE SITE CLEANUP,BWS20,Tier I Permit Extension,MassDEP
WASTE SITE CLEANUP,BWS20A,Tier I Permit Extension - Homeowner Applicant,MassDEP
WASTE SITE CLEANUP,BWS30,Tier I Permit Transfer,MassDEP
WASTE SITE CLEANUP,BWS40,Grant of Environmental Restriction,MassDEP
WASTE SITE CLEANUP,BWS41,Environmental Restriction Grant Amendment,MassDEP
WASTE SITE CLEANUP,BWS50,Special Project Designation,MassDEP
WATER POLLUTION CONTROL,DEP01A,Holding Tank Certification - WPC,MassDEP
WATER POLLUTION CONTROL,WP05,EXP OR ALT TREAT W/O PUBLIC COMMENT (IRP),MassDEP
WATER POLLUTION CONTROL,WP06,MAJOR GROUNDWATER DISCHARGE,MassDEP
WATER POLLUTION CONTROL,WP08,MINOR GROUNDWATER DISCHARGE,MassDEP
WATER POLLUTION CONTROL,WP10,OTHER GROUNDWATER DISCHARGES,MassDEP
WATER POLLUTION CONTROL,WP11,Renewal/Modification of Permit with Plan Approval,MassDEP
WATER POLLUTION CONTROL,WP12,Renewal/Modification of Permit without Plan Approval,MassDEP
WATER POLLUTION CONTROL,WP13,MAJOR SEWER EXTENSION,MassDEP
WATER POLLUTION CONTROL,WP14,MINOR SEWER EXTENSION,MassDEP
WATER POLLUTION CONTROL,WP17,MAJOR SEWER CONNECTION,MassDEP
WATER POLLUTION CONTROL,WP18,MINOR SEWER CONNECTION,MassDEP
WATER POLLUTION CONTROL,WP28,APPROVAL OF SAMPLING/ANALYSIS PLAN FOR LAND APPLICATION,MassDEP
WATER POLLUTION CONTROL,WP29,DETERMINATION OF SUITABILITY FOR LAND APPL OF RESIDUALS,MassDEP
WATER POLLUTION CONTROL,WP30,CERTIFICATION OF MAJOR PROJECTS FOR LAND APPL OF SLUDGE,MassDEP
WATER POLLUTION CONTROL,WP32,RENEWAL OR MODIFICATION OF CERTIFICATION LAND APPL OF SLUDGE,MassDEP
WATER POLLUTION CONTROL,WP33,Plans & Specifications Residuals Landfill (IRP),MassDEP
WATER POLLUTION CONTROL,WP34,Residuals Landfill Closure,MassDEP
WATER POLLUTION CONTROL,WP35,Plans & Specifications Residuals Management Facility,MassDEP
WATER POLLUTION CONTROL,WP40,MINOR DREDGE PROJECT CERTIFICATIONS,MassDEP
WATER POLLUTION CONTROL,WP42,GROUNDWATER RECLAMATION PROJECTS,MassDEP
WATER POLLUTION CONTROL,WP44,Modification to Residuals Landfill,MassDEP
WATER POLLUTION CONTROL,WP45,Modification to Residuals Management Facility,MassDEP
WATER POLLUTION CONTROL,WP55,LARGE INDUSTRIAL WASTEWATER SEWER CONNECTION,MassDEP
WATER POLLUTION CONTROL,WP56,Non-Sanitary Industrial Holding Tank,MassDEP
WATER POLLUTION CONTROL,WP57,APPROVAL OF RECIRCULATING SAND FILTER OR EQUIVALENT,MassDEP
WATER POLLUTION CONTROL,WP58A,APPROVAL FOR PLANS TO AGGREGATE NUTRIENT LOADING,MassDEP
WATER POLLUTION CONTROL,WP58A,APPROVAL OF NITROGEN AGGREGATION LOADING PLAN,MassDEP
WATER POLLUTION CONTROL,WP58B,APPROVAL FOR INSTALLATION OF A SHARED SYSTEM,MassDEP
WATER POLLUTION CONTROL,WP58B,APPROVAL FOR PLANS TO INSTALL A SHARED SYSTEM,MassDEP
WATER POLLUTION CONTROL,WP58B,APPROVAL FOR INSTALLATION OF SHARED SYSTEM,MassDEP
WATER POLLUTION CONTROL,WP59,APPROVAL OF TITLE 5 VARIANCE,MassDEP
WATER POLLUTION CONTROL,WP59A,APPR PURSUANT TO 15.225 OR 15.354(2),MassDEP
WATER POLLUTION CONTROL,WP59B,APPR OF VARIANCE 15.412(2) EXCLUDING SCHOOLS,MassDEP
WATER POLLUTION CONTROL,WP59C,APPR OF VARIANCES PURSUANT TO 15.410,MassDEP
WATER POLLUTION CONTROL,WP60,VARIANCE FROM TITLE 5 FOR SCHOOLS,MassDEP
WATER POLLUTION CONTROL,WP61,Alternative System for Remedial & General Use,MassDEP
WATER POLLUTION CONTROL,WP61A,Alternative System for Remedial Use,MassDEP
WATER POLLUTION CONTROL,WP61B,"Alternative System for Piloting, Provisional, or General Use",MassDEP
WATER POLLUTION CONTROL,WP61C,Alternative Grease Removal Device,MassDEP
WATER POLLUTION CONTROL,WP61D,Upgrade Failing Large System,MassDEP
WATER POLLUTION CONTROL,WP61E,Determine GW Requirements Manifestly Unjust Large System,MassDEP
WATER SUPPLY/DRINKING WATER,WS05,Water Withdrawal Permit,MassDEP
WATER SUPPLY/DRINKING WATER,WS06,UIC Registration/Pre-Closure Notification,MassDEP
WATER SUPPLY/DRINKING WATER,WS06A,"UIC Reg Codes 5A24 Except Abandoned, 5B6, 5C4, 5G1, 5K",MassDEP
WATER SUPPLY/DRINKING WATER,WS06A,"REG UIC WELL CODES 5D4, 5A5, 5W20, 5X25",MassDEP
WATER SUPPLY/DRINKING WATER,WS06B,"REG UIC WELL CODES 5F1, 5D2, 5A6, 5A19, 5S23, 5X27",MassDEP
WATER SUPPLY/DRINKING WATER,WS06B,"UIC Reg 4P, 5A19, 5A23, 5B2, 5B3, 5C3, 5C5, 5H2, 5H3, 5X",MassDEP
WATER SUPPLY/DRINKING WATER,WS06C,"UIC Reg Codes 5A18, 5A24 Abandoned Only, 5B1, 5C2, 5E, 5H1",MassDEP
WATER SUPPLY/DRINKING WATER,WS06C,"REG UIC WELL CODES 5D2, 5G30, 5A7, 5A8, 5R21, 5B22, 5X29",MassDEP
WATER SUPPLY/DRINKING WATER,WS06D,UIC Pre-Closure Notification,MassDEP
WATER SUPPLY/DRINKING WATER,WS07,ZONE 2: APPROVAL TO CONDUCT PUMPING TEST FOR DELINEATION,MassDEP
WATER SUPPLY/DRINKING WATER,WS08,APPROVAL OF ZONE 2 DELINEATION FOR EXISTING DRK WATER SOURCE,MassDEP
WATER SUPPLY/DRINKING WATER,WS09,CROSS CONNECTION PLAN APPROVAL,MassDEP
WATER SUPPLY/DRINKING WATER,WS10,CERTIFICATION OF CROSS CONNECTION TESTERS,MassDEP
WATER SUPPLY/DRINKING WATER,WS11,APPROVAL OF NEW TECHNOLOGY,MassDEP
WATER SUPPLY/DRINKING WATER,WS12,MAJOR NEW TECH APPR W/FLD TST W/O PUBLIC COMMENT (IRP),MassDEP
WATER SUPPLY/DRINKING WATER,WS13,APPROVAL TO SITE SOURCE UNDER 70 GALS/MIN,MassDEP
WATER SUPPLY/DRINKING WATER,WS15,APPROVAL OF PUMPING TEST REPORT AND APPROVAL TO CONSTRUCT,MassDEP
WATER SUPPLY/DRINKING WATER,WS17,APPROVAL TO SITE SOURCE 70 GALS/MIN OR GREATER,MassDEP
WATER SUPPLY/DRINKING WATER,WS18,APPROVAL TO CONDUCT PUMPING TEST FOR SOURCE 70 GAL/MIN GREAT,MassDEP
WATER SUPPLY/DRINKING WATER,WS19,APPROVAL OF PUMP TEST REPORT FOR SOURCE 70 GAL/MIN GREAT,MassDEP
WATER SUPPLY/DRINKING WATER,WS20,APPROVAL TO CONSTRUCT SOURCE 70 GAL/MIN GREATER,MassDEP
WATER SUPPLY/DRINKING WATER,WS21,APPROVAL TO CONDUCT PILOT STUDY,MassDEP
WATER SUPPLY/DRINKING WATER,WS21A,APPROV TO CONDUCT PILOT STUDY; <40K GPD,MassDEP
WATER SUPPLY/DRINKING WATER,WS21B,APPROV TO CONDUCT PILOT STUDY; 40K - 200K GPD,MassDEP
WATER SUPPLY/DRINKING WATER,WS21C,APPROV TO CONDUCT PILOT STUDY; 200K - 1 MGPD,MassDEP
WATER SUPPLY/DRINKING WATER,WS21D,APPROV TO CONDUCT PILOT STUDY; > 1 MGPD,MassDEP
WATER SUPPLY/DRINKING WATER,WS22,APPROVAL OF PILOT STUDY REPORT,MassDEP
WATER SUPPLY/DRINKING WATER,WS22A,APPROVAL OF PILOT STUDY REPORT; LESS 40K GPD,MassDEP
WATER SUPPLY/DRINKING WATER,WS22B,APPROVAL OF PILOT STUDY REPORT; 40K-200K GPD,MassDEP
WATER SUPPLY/DRINKING WATER,WS22C,APPROVAL OF PILOT STUDY REPORT; 200K-1MGD,MassDEP
WATER SUPPLY/DRINKING WATER,WS22D,APPROVAL OF PILOT STUDY REPORT; >1MGD,MassDEP
WATER SUPPLY/DRINKING WATER,WS23,TREATMENT APPROVAL TO CONSTRUCT FACILITY LESS THAN 1 MGD,MassDEP
WATER SUPPLY/DRINKING WATER,WS23A,"APPROVAL TO CONSTRUCT FACILITY <40,000 GPD",MassDEP
WATER SUPPLY/DRINKING WATER,WS23B,"APPROVAL TO CONSTRUCT FACILITY >40,000 BUT <200,000 GPD",MassDEP
WATER SUPPLY/DRINKING WATER,WS23C,"APPROVAL TO CONSTRUCT FACILITY 200,000 GPD BUT <1 MGD",MassDEP
WATER SUPPLY/DRINKING WATER,WS24,CONSTR TREATMENT FAC>1MGD W/O PUBLIC COMMENT (IRP),MassDEP
WATER SUPPLY/DRINKING WATER,WS25,Modification of Treatment Facility,MassDEP
WATER SUPPLY/DRINKING WATER,WS25A,Modification of Treatment Facility < 40K gpd,MassDEP
WATER SUPPLY/DRINKING WATER,WS25B,Modification of Treatment Facility 40K to < 200K gpd,MassDEP
WATER SUPPLY/DRINKING WATER,WS25C,Modification of Treatment Facility 200K to < 1 mil gpd,MassDEP
WATER SUPPLY/DRINKING WATER,WS25D,Modification of Treatment Facility 1 mil or > gpd,MassDEP
WATER SUPPLY/DRINKING WATER,WS26,SALE/ACQUISITION OF LAND,MassDEP
WATER SUPPLY/DRINKING WATER,WS27,APPROVAL OF DRINKING WATER ADDITIVES,MassDEP
WATER SUPPLY/DRINKING WATER,WS29,APPROVAL OF CHEM ADD RETROFIT SERVING MORE THAN 3300 PEOPLE,MassDEP
WATER SUPPLY/DRINKING WATER,WS30,APPROVAL TO INSTALL VENDING MACHINE,MassDEP
WATER SUPPLY/DRINKING WATER,WS30A,INSTALL ONE TYPE VENDING MACHINE @ 1-9 LOCS ON SAME SYS,MassDEP
WATER SUPPLY/DRINKING WATER,WS30B,INSTALL ONE TYPE POU/POE DEVICE @ 1-9 LOC ON SAME SYS,MassDEP
WATER SUPPLY/DRINKING WATER,WS31,APPROVAL OF VENDING MACHINES W/ PREVIOUS 3RD PARTY APPROVAL,MassDEP
WATER SUPPLY/DRINKING WATER,WS32,APPROVAL OF DISTRIBUTION SYSTEM MODS MORE THAN 3300 PEOPLE,MassDEP
WATER SUPPLY/DRINKING WATER,WS33,APPROVAL OF DISTRIBUTION SYSTEM MODS LESS THAN 3300 PEOPLE,MassDEP
WATER SUPPLY/DRINKING WATER,WS34,APPROVAL OF CHEM ADD RETROFIT SERVING LESS THAN 3300 PEOPLE,MassDEP
WATER SUPPLY/DRINKING WATER,WS36,ABANDONMENT OF SOURCE,MassDEP
WATER SUPPLY/DRINKING WATER,WS37,APPROV OF NEW TRNSIENT NON-COMM SOURCE <10K GPD,MassDEP
WATERSHED MANAGEMENT,WM01,Transfer of Water Withdrawal Permit/Registration,MassDEP
WATERSHED MANAGEMENT,WM02,Amendment to Water Withdrawal Permit,MassDEP
WATERSHED MANAGEMENT,WM03,Water Withdrawal Permit,MassDEP
WATERSHED MANAGEMENT,WM05,Type II NPDES Surface Water Discharge Permit,MassDEP
WATERSHED MANAGEMENT,WM06,Type I NPDES Surface Water Discharge Permit,MassDEP
WATERSHED MANAGEMENT,WM07,Modification/Renewal of NPDES Permit,MassDEP
WATERSHED MANAGEMENT,WM08,GENERAL PERMIT NOTICE OF INTENT,MassDEP
WATERSHED MANAGEMENT,WM08A,GEN PERMIT NOTICE OF INTENT-SMALL MUNI SEP STORM SYS MS4,MassDEP
WATERSHED MANAGEMENT,WM08B,GEN PERMIT NOI DISCH TO ORW FROM CONST OR INDUST SITES,MassDEP
WATERSHED MANAGEMENT,WM09,REVIEW/APPROVAL OF STORMWATER MGMT PLAN NPDES,MassDEP
WATERSHED MANAGEMENT,WM10,General Permit for Construction Site Dewatering,MassDEP
WATERSHED MANAGEMENT,WM11,General Permit for Non-contact Cooling Water,MassDEP
WATERSHED MANAGEMENT,WM12,General Permit for Groundwater Remediation,MassDEP
WATERSHED MANAGEMENT,WM13,General Permit for Minor Non-process Wastewater,MassDEP
WATERSHED MANAGEMENT,WM13A,General Permit for Minor Non-process Wastewater,MassDEP
WATERSHED MANAGEMENT,WM14,GENERAL PERMIT FOR SURFACE WATER DISCHARGE NOI,MassDEP
WATERSHED MANAGEMENT,WM16,Plan Approval New/Modified Facility,MassDEP
WETLANDS & WATERWAYS,WW01B,WW LICENSE-OTHER WATER-DEPENDENT PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW01B,WW LICENSE - OTHER WATER DEPENDENT USE PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW01C,WW LICENSE - WATER-DEPENDENT WITH EXTENDED TERMS,MassDEP
WETLANDS & WATERWAYS,WW01C,WW LICENSE - EXTENDED TERMS,MassDEP
WETLANDS & WATERWAYS,WW01C,WW LICENSE-WATER-DEPENDENT PROJECTS-EXTENDED TERMS,MassDEP
WETLANDS & WATERWAYS,WW02,LICENSE NOT SUBJECT TO AMNESTY,MassDEP
WETLANDS & WATERWAYS,WW02A,WW AMNESTY - TRANSFERABLE $100 FEE,MassDEP
WETLANDS & WATERWAYS,WW02A,WW AMNESTY - WATER DEPENDENT USE PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW02A,WW AMNESTY - INTERIM APPROVAL $0 FEE,MassDEP
WETLANDS & WATERWAYS,WW02B,WW Amnesty - Non Water Dependent,MassDEP
WETLANDS & WATERWAYS,WW02B,WW AMNESTY - NON WATER DEPENDENT,MassDEP
WETLANDS & WATERWAYS,WW02C,WW AMNESTY - EXTENDED TERMS,MassDEP
WETLANDS & WATERWAYS,WW02D,WW AMNESTY - INTERIM APPROVAL - NO FEE,MassDEP
WETLANDS & WATERWAYS,WW03A,WW AMENDMENT - WATER DEPENDENT USE PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW03A,WW LIC AMENDMENT-WD USE 4 UNITS OR LESS,MassDEP
WETLANDS & WATERWAYS,WW03B,WW LIC AMENDMENT-OTHER WD USE PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW03B,WW AMENDMENT - NON WATER DEPENDENT,MassDEP
WETLANDS & WATERWAYS,WW03C,WW AMENDMENT - EXTENDED TERMS,MassDEP
WETLANDS & WATERWAYS,WW03C,WW LIC AMEND - RESIDENTIAL NWD USE 4 UNITS OR LESS,MassDEP
WETLANDS & WATERWAYS,WW03D,WW AMENDMENT - OTHER NON-WATER DEPENDENT USE PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW03D,WW LIC AMEND - OTHER NWD USE PROJECTS,MassDEP
WETLANDS & WATERWAYS,WW03E,Amendment for License with Extended Terms (WD/NWD),MassDEP
WETLANDS & WATERWAYS,WW04,DETERMINATION OF APPLICABILITY,MassDEP
WETLANDS & WATERWAYS,WW05A,CERT OF COMPLIANCE - WATER DEPENDENT,MassDEP
WETLANDS & WATERWAYS,WW05B,CERT OF COMPLIANCE - NONWATER DEPENDENT,MassDEP
WETLANDS & WATERWAYS,WW05C,CERT OF COMPLIANCE - EXTENDED TERM,MassDEP
WETLANDS & WATERWAYS,WW06,WW License Small Structure Accessory to Residence,MassDEP
WETLANDS & WATERWAYS,WW07,"MAJOR DREDGING PROJECTS, 5,000 CUBIC YARDS OR GREATER",MassDEP
WETLANDS & WATERWAYS,WW08,"MINOR DREDGING PROJECTS, < 5,000 CUBIC YARDS, > 100 CY",MassDEP
WETLANDS & WATERWAYS,WW09A,WQCERT INCREASE IN DREDGE VOLUME,MassDEP
WETLANDS & WATERWAYS,WW09B,WQCERT CHANGE IN DREDGE OR DISPOSAL METHODS,MassDEP
